Какие задачи вы выполняете?,Возможные размеры
"Общие вычисления или веб-сайты. Тестирование и разработка, небольшие и средние базы данных, веб-серверы с небольшим или средним объемом трафика.","B, Dsv3, Dv3, DSv2, Dv2"
"Сложные вычислительные задачи. Веб-серверы со средним объемом трафика, сетевые устройства, пакетные процессы и серверы приложений.","Fsv2, Fs, F"
"Использование больших объемов памяти. Серверы реляционных баз данных, кэши среднего и большого объема, выполняющаяся в памяти аналитика.","Esv3, Ev3, M, GS, G, DSv2, Dv2"
"Хранение и обработка данных. Большие данные, базы данных SQL и NoSQL, требующие высокой пропускной способности дисков и интенсивного использования операций ввода-вывода.",Ls
"Ресурсоемкая отрисовка изображений или редактирование видео, а также обучение моделей и формирование выводов с помощью глубокого обучения.","NV, NC, NCv2, NCv3, ND"
"Высокопроизводительные вычисления (HPC), требующие виртуальных машин с самыми быстрыми и производительными ЦП, для которых можно настроить сетевые интерфейсы с высокой пропускной способностью.",H
